Identifier,Name
6251363,DAIWA HOUSE INDUSTRY CO LTD CO
6281939,JOHNSON ELECTRIC HOLDINGS LTD
6335171,MITSUBISHI UFJ FINANCIAL GROUP
6356934,FANUC CORP COMMON STOCK JPY
6408664,HANKYU HANSHIN HOLDINGS INC CO
6428725,HIROSE ELECTRIC CO LTD COMMON
6435145,HONDA MOTOR CO LTD COMMON STOC
6441506,HOYA CORP COMMON STOCK JPY
6480048,AEON CO LTD COMMON STOCK JPY
6483809,KAO CORP COMMON STOCK JPY
6487362,KEIO CORP COMMON STOCK JPY
6490995,KEYENCE CORP COMMON STOCK JPY
6513126,TOKIO MARINE HOLDINGS INC COMM
6536112,BOC HONG KONG HOLDINGS LTD COM
6563024,SUMITOMO MITSUI FINANCIAL GROU
6591014,MIZUHO FINANCIAL GROUP INC COM
6596729,MITSUBISHI ESTATE CO LTD COMMO
6596785,MITSUBISHI CORP COMMON STOCK J
6597067,MITSUBISHI HEAVY INDUSTRIES LT
6597302,MITSUI & CO LTD COMMON STOCK J
6597603,MITSUI FUDOSAN CO LTD COMMON S
6639550,NINTENDO CO LTD COMMON STOCK J
6641801,NITTO DENKO CORP COMMON STOCK
6642569,NIPPON STEEL CORP COMMON STOCK
6642666,NIPPON ELECTRIC GLASS CO LTD C
6642860,NISSAN MOTOR CO LTD COMMON STO
6659428,OMRON CORP COMMON STOCK JPY
6661144,ORIX CORP COMMON STOCK JPY
6744294,T&D HOLDINGS INC COMMON STOCK
6763965,SMC CORP COMMON STOCK JPY
6770620,SOFTBANK GROUP CORP COMMON STO
6804585,SHIN-ETSU CHEMICAL CO LTD COMM
6805265,SHISEIDO CO LTD COMMON STOCK J
6858560,SUMITOMO CHEMICAL CO LTD COMMO
6858827,SUMITOMO METAL INDUSTRIES
6858946,SUMITOMO CORP COMMON STOCK JPY
6859927,SUN HUNG KAI PROPERTIES LTD CO
6870445,TAKEDA PHARMACEUTICAL CO LTD C
6895404,TOKYO ELECTRIC POWER CO HOLDIN
6895675,TOKYO ELECTRON LTD COMMON STOC
6896548,TOKYU CORP COMMON STOCK JPY
6897217,TOSHIBA CORP COMMON STOCK JPY
6985565,YAMATO HOLDINGS CO LTD COMMON
6986449,BANK OF YOKOHAMA LTD/THE COMMO
7077524,NOVO NORDISK A/S COMMON STOCK
7088429,AXA SA COMMON STOCK EUR 2.29
7103065,NOVARTIS AG COMMON STOCK CHF 0
7110388,ROCHE HOLDING AG COMMON STOCK
7110753,HOLCIM LTD COMMON STOCK CHF 2
7111314,INDUSTRIA DE DISENO TEXTIL SA
7123870,NESTLE SA COMMON STOCK CHF 0.1
7136663,JCDECAUX SA COMMON STOCK EUR 0
7151116,COMPAGNIE FINANCIERE RICHEMONT
7154182,ING GROEP NV
7189816,SWISS REINSURANCE
7266117,FORTIS GROUP
7309681,BNP PARIBAS SA COMMON STOCK EU
7681248,HYPO REAL ESTATE HOLDING
7751259,YARA INTERNATIONAL ASA COMMON
7792559,HEINEKEN NV COMMON STOCK EUR 1
B010K20 ,DEPFA BANK PLC
B014635 ,SYNTHES INC
B01XK74 ,FREESCALE SEMICONDUCTOR INC
B020QX2 ,GOOGLE LLC COMMON STOCK USD 0.
B02PY22 ,SINGAPORE TELECOMMUNICATIONS L
B02Q328 ,ELECTRIC POWER DEVELOPMENT CO
B04QKW5 ,BRITISH ENERGY GROUP PLC
B0704T9 ,RAIFFEISEN BANK INTERNATIONAL
B09CBL4 ,ROYAL DUTCH SHELL PLC COMMON S
B09RMQ1 ,SEADRILL LTD/OLD
B0F0F09 ,MATCH GROUP INC COMMON STOCK U
B0FS5D6 ,SEVEN & I HOLDINGS CO LTD COMM
B0PB4M7 ,LINK REIT
B12GHV2 ,STARWOOD HOTELS & RESORTS WORL
B1747F5 ,AXA
037729B ,SOUTH AUST GOVT FIN I/L S:2
082567B ,DOWNING TOWER FINANCE LIMTITED
082983B ,PAPER BOND LTD S:A
083159B ,TREASURY CORP OF VICTORIA BOND
415957B ,MACQUARIE GOODMAN INDUSTRIAL F
518799B ,QIC SHOPPING CENTRE FUND S:MTN
522609B ,LANE COVE TUNNEL CIB INDEXED B
525213B ,TREASURY CORP VICTORIA INDEXED
526538B ,ING RETAIL PROPERTY S-1 CL-A C
527924B ,SYDNEY AIRPORT FINANCE INDEXED
527996B ,AUSTRALIAN PRIME PROPERTY FUND
528473B ,ROYAL BK OF SCOTLAND PLC S:1 B
533326B ,RWH FINANCE PTY LIMITED INDEXE
538137N ,COMMONWEALTH BANK OF AUSTRALIA
538140N ,HBOS TREASURY SERVICES PLC
538323D ,CBFC LTD.
538655N ,AUSTRALIA AND NEW ZEALAND BANK
538659N ,COMMONWEALTH BANK OF AUSTRALIA
538676N ,AUSTRALIA AND NEW ZEALAND BANK
538966N ,AUSTRALIA AND NEW ZEALAND BANK
540100N ,COMMONWEALTH BANK OF AUSTRALIA
540186D ,GE CAPTIAL
540187D ,NATIONAL AUSTRALIA BANK LTD./P
540358N ,NATIONAL AUSTRALIA BANK LTD.
540404D ,ESANDA FINANCE CORP. LTD.
540568D ,TELSTRA CORP. LTD.
540638D ,ESANDA FINANCE CORP LTD
540813B ,GOLDMAN SACHS GROUP INC S:MTN
540814B ,GOLDMAN SACHS GROUP INC S:MTN
540912B ,JEM (NSW SCHOOLS II) PTY LTD I
541163N ,COMMONWEALTH BANK OF AUSTRALIA
541209N ,HBOS TREASURY SERVICES PLC
541450B ,NOVACARE SOLUTIONS PARTNERSHIP
541774N ,AUSTRALIA AND NEW ZEALAND BANK
541796N ,WESTPAC BANKING CORP
541825B ,ALE FINANCE COMPANY PTY LTD CA
542112B ,QUEENSLAND TREASURY CORP
542305N ,NATIONAL AUSTRALIA BANK LTD
542323N ,COMMONWEALTH BANK OF AUSTRALIA
542324N ,WESTPAC BANKING CORP
542506D ,NATIONAL AUSTRALIA BANK LTD/UN
542578N ,ST GEORGE BANK LTD
542579N ,COMMONWEALTH BANK OF AUSTRALIA
542652D ,GE CAPITAL
542805D ,COLONIAL FINANCE LTD
542820N ,ST GEORGE BANK LTD
542821N ,AUSTRALIA AND NEW ZEALAND BANK
542827N ,WESTPAC BANKING CORP
542928N ,COMMONWEALTH BANK OF AUSTRALIA
542939N ,COMMONWEALTH BANK OF AUSTRALIA
6065230,AUSTRALIAN INDEX LINKED I/L S:
6068693,AUSTRALIAN INDEX LINKED S:10CI
6080448,AUSTRALIAN GOVERNMENT S:20CI C
6422363,NEW S WALES TREASURY CORP S:12
6532132,ELECTRANET PTY LTD I/L S:ILB C
6532381,AUST CAPITAL TERRITORY I/A C:S
6579281Y,WESTPAC FIRSTS
6589826,ENVESTRA VICTORIA LTD
6650777,CIVIC NEXUS FINANCE LTD C:SR U
6653044,BANK OF WESTERN AUST LTD SERIE
6711458,ST GEORGE BANK LTD - CALLABLE
6719117,BANK OF AMERICA CORP
6729019,WESTPAC BANKING S: MTN CALLABL
6741358,QUAY 62 PTY LTD S:2003-1 CL:B
B01BT59 ,SLM CORP S:EMTN
B01FVM2 ,QIC SHOPPING CENTRE FUND S - M
B02F1W1 ,ING INDUSTRIAL FUND PTY LTD S:
B02HHT6 ,AUSTRALAND FINANCE LIMITED S:2
B036Z43 ,TABCORP INVESTMENTS NO.4
B043P87 ,SUNCORP METWAY INSURANCE S:1 (
B043TH4 ,RABOBANK CAP FD TRUST VI PERP
B065PW5 ,WESTPAC BANKING S:MTN (CALLABL
B066078 ,NATIONAL AUSTRALIA BANK S-MTN
B06G9Q0 ,SPI AUSTRAL FIN PTY LTD S:MTN
B070KP7 ,TRANSURBAN FINANCE CMPNY - S:M
B070KQ8 ,NOVION PROPERTY GROUP S:11 C:S
B0HXXH9 ,IPG FINANCE PTY LTD
B0Q3QL5 ,CLP AUSTRALIA FINANCE CALL S:M
B0WRQ00 ,AUSTRALIAN GOVERNMENT S:122 C:
B0ZRNM8 ,MORGAN STANLEY C:SR UNSECURED
B11ZPB6 ,GPT RE LTD S:MTN
IR0307  ,90 DAY BANK BILL (SFE)
IR0308  ,90-DAY BANK BILL (SFE)
IR0607  ,90DAY BANK BILL (SFE) FUTURE
IR0906  ,90-DAY BANK BILL (SFE) FUTURE
IR0907  ,90DAY BANK BILL (SFE) FUTURE
IR1206  ,90 DAY BANK BILL FUTURE (SFE)
IR1207  ,90 DAY BANK BILL (SFE)
IRB0606 ,30 DAY INTERBANK (SFE) FUTURE
IRB0706 ,30 DAY INTERBANK (SFE) FUTURE
IRB0806 ,30 DAY INTERBANK (SFE) FUTURE
IRB0906 ,30 DAY INTERBANK (SFE) FUTURE
IRB1006 ,30 DAY INTERBANK (SFE) FUTURE
IRB1106 ,30 DAY INTERBANK (SFE) FUTURE
XM0906  ,AUST 10Y BOND FUTURE (SFE)
XM0906D ,AUST 10Y BOND FUTURE (SFE) - D
YM0906  ,AUST 3YR BOND FUTURE (SFE)
YM0906D ,AUST 3YR BOND FUTURE (SFE) - D
2016629,GAZPROM PJSC-SPON ADR
2192712,CIA ENERGETICA MINAS GERAIS-CE
2246039,FOMENTO ECONOMICO MEXICANO SAB
2406457,CEMEX SAB DE CV UNIT MXN 0
2416326,GOLD FIELDS LTD ADR USD
2537432,LUKOIL PJSC
2569305,UNIFIED ENERGY SYSTEM
2616580,PETROLEO BRASILEIRO SA ADR USD
2756743,SATYAM COMP ADR
2768243,MMC NORILSK NICKEL PJSC
2960210,NET SERVICOS DE COMUNICACAO SA
5624030,CEZ AS COMMON STOCK CZK 100
6040776,AFRICAN BANK INVESTMENTS LTD
6073556,CHINA MOBILE LTD COMMON STOCK
6136233,HENGAN INTERNATIONAL GROUP CO
6153339,AVENG LTD COMMON STOCK ZAR
6155250,SAMSUNG FIRE & MARINE INSURANC
6186669,CATCHER TECHNOLOGY CO LTD COMM
6187855,CHANG HWA COMMERCIAL BANK LTD
6189516,CJ CORP COMMON STOCK KRW 5000
6189538,CHEIL INDUSTRIES INC COMMON ST
6192150,CHINA OVERSEAS LAND & INVESTME
6224871,SK TELECOM CO LTD COMMON STOCK
6226576,PETROCHINA CO LTD COMMON STOCK
6260734,DELTA ELECTRONICS INC COMMON S
6280215,GOLD FIELDS LTD COMMON STOCK Z
6366676,GENTING BERHAD
6402428,HDC HOLDINGS CO LTD COMMON STO
6419365,KOOKMIN BANK
6422761,HARBIN ELECTRIC CO LTD COMMON
6425663,CATHAY FINANCIAL HOLDING CO LT
6438564,HON HAI PRECISION INDUSTRY CO
6450267,SK HYNIX INC COMMON STOCK KRW
6451668,LARGAN PRECISION CO LTD COMMON
6510536,HTC CORP COMMON STOCK TWD 10
6527666,CTBC FINANCIAL HOLDING CO LTD
6537096,GS ENGINEERING & CONSTRUCTION
6560393,NAVER CORP COMMON STOCK KRW 10
6560995,CHINA OILFIELD SERVICES LTD CO
6609445,MOTECH INDUSTRIES INC COMMON S
6622691,NASPERS LTD COMMON STOCK ZAR 2
6628008,NEDBANK GROUP LTD COMMON STOCK
6665931,AMOREPACIFIC GROUP COMMON STOC
6709099,BANK RAKYAT INDONESIA PERSERO
6718976,CHINA LIFE INSURANCE CO LTD CO
6728726,REUNERT LTD COMMON STOCK ZAR 1
6772671,HANWHA AEROSPACE CO LTD COMMON
6777450,SASOL LTD COMMON STOCK ZAR 0
6801779,FOXCONN TECHNOLOGY CO LTD COMM
6805049,SHINSEGAE INC COMMON STOCK KRW
6896849,ORION HOLDINGS CORP COMMON STO
721719W ,BAJAJ HINDUSTHAN LIMITED DEUTS
811533W ,HINDALCO INDUSTRIES LIMITED -
B00FM53 ,BANCO BRADESCO SA
B014K55 ,NATURA COSMETICOS SA COMMON ST
B01FLR7 ,PING AN INSURANCE GROUP CO OF
B01JPG6 ,ZENTIVA BV
B01SCS4 ,BRADESPAR SA PREFERENCE BRL 0
B02YHX1 ,JAIPRAKASH ASSOCIATES LTD - CI
B02YZ04 ,WAL-MART DE MEXICO SAB DE CV
B037HR3 ,ITAU UNIBANCO HOLDING SA PREFE
B03BN88 ,ORASCOM CONSTRUCTION INDUSTRIE
B03MP18 ,ARCELIK AS COMMON STOCK TRY 1
B03MYP5 ,TURKIYE GARANTI BANKASI AS COM
B03N0C7 ,HACI OMER SABANCI HOLDING AS C
B03WBK9 ,DIAGNOSTICOS DA AMERICA SA COM
B064FC2 ,SISTEMA PJSFC GDR USD
B06L266 ,SUBMARINO SA
B06QT37 ,ALL AMERICA LATINA LOGISTICA
B092QP3 ,MELCO INTERNATIONAL DEVELOPMEN
B09N7M0 ,CHINA SHENHUA ENERGY CO LTD CO
B0F4RV6 ,NOVATEK OAO - SPONSORED GDR 14
B0J4PP2 ,TIGER BRANDS LTD COMMON STOCK
B0JM8W4 ,DEUTSCHE BANK - CW07
B0LD911 ,TATA MOTORS LTD-CW07 DEUTSCHE
B0MCY56 ,CITIGRP-CW12 (ITC LIMITED)
B0P72G5 ,COSAN SA COMMON STOCK BRL 0
B0RNRF5 ,HANA FINANCIAL GROUP INC COMMO
B12P1B7 ,BAJAJ HINDUSTH LIMITED-UBS CW0
B154564 ,BANK OF CHINA LTD COMMON STOCK
B15SK50 ,AMOREPACIFIC CORP COMMON STOCK
B188HM3 ,SUZLON ENERGY LIMITED - UBS CW
527474S ,ASPEN GROUP
542423S ,MFS LIVING AND LEISURE GROUP
6003843,AWE LTD COMMON STOCK 0
6037745,CNPR GROUP
6064969,AUSTRALIAN GAS LIGHT COMPANY
6065586,AUSTRALIA & NEW ZEALAND BANKIN
6066608,AMCOR PLC CDI AUD 0
6068574,APN NEWS & MEDIA LTD
6076146,WESTPAC BANKING CORP COMMON ST
6087289,TELSTRA CORP LTD COMMON STOCK
6120009,BRAMBLES INDUSTRIES LIMITED
6123451,COCA-COLA AMATIL LTD COMMON ST
6129222,ASX LTD COMMON STOCK AUD 0
6144690,BHP GROUP LTD COMMON STOCK AUD
6150664,COMMONWEALTH PROPERTY OFFICE
6161503,CALTEX AUSTRALIA LTD
6161978,MIRVAC GROUP
6173508,HARVEY NORMAN HOLDINGS LTD COM
6180412,COMPUTERSHARE LTD COMMON STOCK
6185495,CSL LTD COMMON STOCK AUD 0
6185699,UNITAB LIMITED
6200882,TRANSURBAN GROUP STAPLED SECUR
6205694,INVESTA OFFICE FUND
6211798,COCHLEAR LTD COMMON STOCK AUD
6214861,ORIGIN ENERGY LTD COMMON STOCK
6215035,COMMONWEALTH BANK OF AUSTRALIA
6218670,BORAL LTD COMMON STOCK AUD 0
6220103,RIO TINTO LTD COMMON STOCK AUD
6221667,RESMED INC CDI AUD
6222206,PAPERLINX LTD
6225595,CHARTER HALL RETAIL REIT
6238645,CSR LTD COMMON STOCK AUD 0
6253983,ARISTOCRAT LEISURE LTD COMMON
6265977,DCA GROUP LIMITED
6271026,INSURANCE AUSTRALIA GROUP LTD
6277916,BILLABONG INTERNATIONAL LTD CO
6286611,ANSELL LTD COMMON STOCK AUD 0
6293699,ALINTA LTD
6293729,ONESTEEL LTD
6338675,ABC LEARNING CENTRES
6349268,FOSTERS GROUP LIMITED
6357852,ELDERS LTD COMMON STOCK AUD 0
6361370,CFS RETAIL PROPERTY TRUST GROU
6365866,GPT GROUP
6388960,AWB LTD
6397825,OZ MINERALS LTD COMMON STOCK A
6412977,JAMES HARDIE INDUSTRIES NV
6419558,ING INDUSTRIAL FUND
6432920,HEALTHSCOPE LTD
6456942,INTOLL GROUP
6458001,ORICA LTD COMMON STOCK AUD 0
6465573,DOWNER EDI LTD COMMON STOCK AU
6467074,FAIRFAX MEDIA LTD COMMON STOCK
6511227,LEIGHTON HOLDINGS LTD
6512004,LENDLEASE CORP LTD STAPLED SEC
6518596,LIHIR GOLD LTD
6533232,BLUESCOPE STEEL LTD COMMON STO
6538215,LION NATHAN LIMITED
6541860,MACQUARIE COMMUNICATIONS INFRA
6543628,MAP GROUPS
6551353,MACQUARIE BANK LIMITED
6552594,SIGMA PHARMACEUTICALS LTD
6562474,WORLEY LTD COMMON STOCK AUD 0
6574606,SYMBION HEALTH LTD
6585084,SUNCORP GROUP LTD COMMON STOCK
6599386,RINKER GROUP
6608516,PROMINA GROUP LTD
6617794,AXA ASIA PACIFIC HOLDINGS LIMI
6624608,NATIONAL AUSTRALIA BANK LTD CO
6637082,CONSOLIDATED MEDIA HOLDINGS LT
6637101,NEWCREST MINING LTD COMMON STO
6657604,OIL SEARCH LTD COMMON STOCK PG
6682394,PERPETUAL LTD COMMON STOCK AUD
6693749,TOLL HOLDINGS LTD COMMON STOCK
6703994,CHARTER HALL OFFICE REIT
6709958,AMP LTD COMMON STOCK AUD 0
6710347,QANTAS AIRWAYS LTD COMMON STOC
6715245,MULTIPLEX GROUP
6715740,QBE INSURANCE GROUP LTD COMMON
6726300,CHALLENGER LTD COMMON STOCK AU
6768421,ST GEORGE BANK LIMITED
6776703,SANTOS LTD COMMON STOCK AUD 0
6821120,SONIC HEALTHCARE LTD COMMON ST
6850856,STOCKLAND
6873262,TABCORP HOLDINGS LTD COMMON ST
6881500,SPARK NEW ZEALAND LTD COMMON S
6948836,WESFARMERS LTD COMMON STOCK AU
6949431,SEVEN WEST MEDIA LTD COMMON ST
6954145,INVESTA PROPERTY GROUP
6954985,ALUMINA LTD COMMON STOCK AUD 0
6957575,ILUKA RESOURCES LTD COMMON STO
6979728,WOODSIDE PETROLEUM LTD COMMON
6981239,WOOLWORTHS GROUP LTD COMMON ST
B00G2C3 ,ZINIFEX LIMITED
B01BTX7 ,WESTFIELD GROUP
B02WTT5 ,BABCOCK & BROWN LTD
B033YN6 ,DEXUS
B03FYZ4 ,GOODMAN GROUP
B03Q907 ,TWENTY-FIRST CENTURY FOX INC
B03S204 ,TWENTY-FIRST CENTURY FOX INC
B0744W4 ,METCASH LTD COMMON STOCK AUD 0
B0CRCP7 ,TATTS GROUP LTD COMMON STOCK U
B0LCW75 ,SIMS LTD COMMON STOCK AUD 0
B0PPC70 ,MAYNE PHARMA LTD
B0T0H76 ,GOODMAN FIELDER LTD
B0YMVL9 ,MACQUARIE CAPITAL ALLIANCE - S
B101CN6 ,CFS RETAIL PROPERTY TRUST NEW
B1037Z9 ,WESTFIELD GROUP - NEW
B103812 ,STOCKLAND-NEW
B117813 ,DYNO NOBEL LTD
B15F6S6 ,CHARTER HALL GROUP
XP0906  ,SPI 200 FUTURE (SFE)
6409485,HARDMAN RESOURCES LIMITED
6002840,AUSTRALIAN PHARMACEUTICAL INDU
6174493,PROGRAMMED MAINTENANCE SERVICE
6206200,COAL & ALLIED INDUSTRIES
6218335,CONSOLIDATED RUTILE LIMITED
6335331,NUFARM LTD/AUSTRALIA COMMON ST
6341617,FLETCHER BUILDING LTD COMMON S
6358004,GUD HOLDINGS LTD COMMON STOCK
6392949,GWA GROUP LTD COMMON STOCK AUD
6600471,MONADELPHOUS GROUP LTD COMMON
6649991,OAMPS LIMITED
6681960,NEW HOPE CORP LTD COMMON STOCK
B00G290 ,PACIFIC BRANDS LTD COMMON STOC
B0854Y8 ,HENDERSON GROUP PLC - CDI
532518S ,UNITED GROUP LIMITED
6673042,INCITEC PIVOT LTD COMMON STOCK
6914871,UGL LTD
6491705,GUNNS LTD
6522779,SFE CORPORATION
6570121,VALAD PROPERTY GROUP
6702623,JB HI-FI LTD COMMON STOCK AUD
6703949,PANAUST LTD COMMON STOCK USD 0
6836403,SPOTLESS GROUP LIMITED
6031855,MINARA RESOURCES LTD
6209908,COLES GROUP LIMITED
6783855,SEVEN NETWORK LTD
6000297,ADSTEAM MARINE LTD
6024208,AMALGAMATED HOLDINGS LTD
6070193,AUSTRALIAN INFRASTRUCTURE FUND
6151311,SKYCITY ENTERTAINMENT GROUP LT
6194695,CABCHARGE AUSTRALIA LTD
6283065,VISION SYSTEMS
6666150,PACIFIC GROUP LIMITED
6738929,RIDLEY CORP LTD COMMON STOCK A
6913209,GRD LIMITED
ANZVN106,AUST ANZ NZ BANKING GROUP LTD
ANZVP106,AUST AND NZ BANKING GROUP LTD
ANZVU106,AUST AND NZ BANKING GROUP LTD
ANZYO106,AUST AND NZ BANKING GROUP LTD
ANZYR106,AUST AND NZ BANKING GROUP LTD
B04C8F2 ,CONNECTEAST GROUP
B04NW19 ,TISHMAN SPEYER OFFICE FUND
B0RF609Y,SP AUSNET
CBAQO096,COMMONWEALTH BANK OF AUSTRALIA
CBASM096,COMMONWEALTH BANK OF AUSTRALIA
CBASZ096,COMMONWEALTH BANK OF AUSTRALIA
FGLFK106,FOSTER'S GROUP LTD
FGLFQ106,FOSTERS GROUP LIMITED
IAGCW096,INSURANCE AUSTRALIA GROUP LTD
NAB75106,NATIONAL AUSTRALIA BANK LTD
PBLEY096,PUBLISHING & BROADCASTING
PBLJ9096,PUBLISHING BROADCASTING LTD
PBLJC096,PUBLISHING BROADCASTING LTD
PBLL8096,PUBLISHING & BROADCASTING
PMNU8096,PROMINA GROUP LTD
RIO7B096,RIO TINTO LIMITED
RIOBU096,RIO TINTO LTD
SUNJH096,SUNCORP-METWAY LIMITED
SUNJO096,SUNCORP-METWAY LTD
TCLTK096,TRANSURBAN GROUP
WBCTU106,WESTPAC BANKING CORPORATION
WBCXU106,WESTPAC BANKING CORPORATION
WPLSU096,WOODSIDE PETROLEUM LTD
6128661,VEDA ADVANTAGE LTD.
B00R2H1 ,JUST GROUP LTD
B0LN825 ,INFIGEN ENERGY LTD STAPLED SEC
B14W0S6 ,WOTIF.COM HOLDINGS LTD COMMON
6003467,AUSTRALAND PROPERTY GROUP
6007652,ANDROMEDA METALS LTD COMMON ST
